AAS  198	Directed Group Study           [001] (Chapman)
RMED 299	Repro Med Indepen Study Projct [003] (Kingston)
RMED 299	Repro Med Indepen Study Projct [004] (Staff)
RMED 401	Obstetrcs&Gyneclgy Cor Clrkshp [A00] (Deak)
RMED 427	Adv Clerkship/Reproductive Med [A00] (Chang)
RMED 428	Subinternship in Perinatology  [A00] (Kelly)
RMED 429	Family Planning/Women's Health [A00] (Kingston)
RMED 430	Subinternship/Gynecologc Oncol [A00] (McHale)
RMED 432	Subintrnshp/Obstetrics&Gynecol [A00] (Kelly)
RMED 496	Clinical Independent Study     [001] (Kingston)
RMED 496	Clinical Independent Study     [002] (Nager)
RMED 496	Clinical Independent Study     [003] (Staff)
RMED 496	Clinical Independent Study     [004] (Staff)
SE     1	Intro. to Structures & Design  [A00] (Van Den Einde)
SE   101A	Mechanics I: Statics           [A00] (Van Den Einde)
SE   101C	Mechanics III: Vibrations      [A00] (Zhu)
SE   121A	Intro. to Computing for Eng.   [A00] (Asaro)
SE   125	Stats, Probability&Reliability [A00] (Conte)
SE   130A	Structural Analysis I          [A00] (Mosqueda)
SE   142	Design of Composite Structures [A00] (Williams)
SE   164	Sensors/Data Acquisition SE    [B00] (Loh)
SE   180	Earthquake Engineering         [A00] (Elgamal)
SE   181	Geotechnical Engineering       [B00] (McCartney)
SE   199	Independent Study/Undergrads   [001] (Asaro)
SE   199	Independent Study/Undergrads   [002] (Bazilevs)
SE   199	Independent Study/Undergrads   [003] (Chen)
SE   199	Independent Study/Undergrads   [004] (Conte)
SE   199	Independent Study/Undergrads   [005] (Elgamal)
SE   199	Independent Study/Undergrads   [006] (Eliasson)
SE   199	Independent Study/Undergrads   [007] (Hutchinson)
SE   199	Independent Study/Undergrads   [008] (Kim)
SE   199	Independent Study/Undergrads   [009] (Kim)
SE   199	Independent Study/Undergrads   [010] (Kosmatka)
SE   199	Independent Study/Undergrads   [011] (Krysl)
SE   199	Independent Study/Undergrads   [012] (Kuester)
SE   199	Independent Study/Undergrads   [013] (Lanza Di Scalea)
SE   199	Independent Study/Undergrads   [014] (Loh)
SE   199	Independent Study/Undergrads   [015] (Luco)
SE   199	Independent Study/Undergrads   [016] (McCartney)
SE   199	Independent Study/Undergrads   [017] (Mosqueda)
SE   199	Independent Study/Undergrads   [018] (Qiao)
SE   199	Independent Study/Undergrads   [019] (Restrepo)
SE   199	Independent Study/Undergrads   [020] (Shing)
SE   199	Independent Study/Undergrads   [021] (Todd)
SE   199	Independent Study/Undergrads   [022] (Uang)
SE   199	Independent Study/Undergrads   [023] (Van Den Einde)
SE   199	Independent Study/Undergrads   [024] (Zhu)
SE   201A	Advanced Structural Analysis   [A00] (Shing)
SE   207	Topics/Structural Engineering  [A00] (Kim)
SE   207	Topics/Structural Engineering  [B00] (McCartney)
SE   207	Topics/Structural Engineering  [C00] (Hemez)
SE   212	Advanc/Structural Steel Design [B00] (Uang)
SE   213	Bridge Design                  [A00] (Staff)
SE   220	Seismic Isolatn &Energy Dissip [B00] (Mosqueda)
SE   223	Adv/Seismic Design/Structures  [A00] (Restrepo)
SE   233	Computational Tech/Finite Elmn [A00] (Krysl)
SE   241	Advanced Soil Mechanics        [A00] (Tomac)
SE   253A	Mech/Laminated Composite Str I [A00] (Eliasson)
SE   264	Sensors/Data Acquisition SE    [B00] (Loh)
SE   271	Foundations of Solid Mechanics [A00] (Asaro)
SE   276A	Finite Elemnt in Solid Mech I  [A00] (Bazilevs)
SE   285	Structural Optimization        [A00] (Kim)
SE   290	Structural Engineering Seminar [A00] (Kim)
SE   296	Independent Study              [001] (Asaro)
SE   296	Independent Study              [002] (Bazilevs)
SE   296	Independent Study              [003] (Chen)
SE   296	Independent Study              [004] (Conte)
SE   296	Independent Study              [005] (Elgamal)
SE   296	Independent Study              [006] (Eliasson)
SE   296	Independent Study              [007] (Hutchinson)
SE   296	Independent Study              [008] (Kim)
SE   296	Independent Study              [009] (Kim)
SE   296	Independent Study              [010] (Kosmatka)
SE   296	Independent Study              [011] (Krysl)
SE   296	Independent Study              [012] (Kuester)
SE   296	Independent Study              [013] (Lanza Di Scalea)
SE   296	Independent Study              [014] (Loh)
SE   296	Independent Study              [015] (Luco)
SE   296	Independent Study              [016] (McCartney)
SE   296	Independent Study              [017] (Mosqueda)
SE   296	Independent Study              [018] (Qiao)
SE   296	Independent Study              [019] (Restrepo)
SE   296	Independent Study              [020] (Shing)
SE   296	Independent Study              [021] (Todd)
SE   296	Independent Study              [022] (Uang)
SE   296	Independent Study              [023] (Van Den Einde)
SE   296	Independent Study              [024] (Zhu)
SE   298	Direct Group Study             [001] (Asaro)
SE   298	Direct Group Study             [002] (Bazilevs)
SE   298	Direct Group Study             [003] (Chen)
SE   298	Direct Group Study             [004] (Conte)
SE   298	Direct Group Study             [005] (Elgamal)
SE   298	Direct Group Study             [006] (Eliasson)
SE   298	Direct Group Study             [007] (Hutchinson)
SE   298	Direct Group Study             [008] (Kim)
SE   298	Direct Group Study             [009] (Kim)
SE   298	Direct Group Study             [010] (Kosmatka)
SE   298	Direct Group Study             [011] (Krysl)
SE   298	Direct Group Study             [012] (Kuester)
SE   298	Direct Group Study             [013] (Lanza Di Scalea)
SE   298	Direct Group Study             [014] (Loh)
SE   298	Direct Group Study             [015] (Luco)
SE   298	Direct Group Study             [016] (McCartney)
SE   298	Direct Group Study             [017] (Mosqueda)
SE   298	Direct Group Study             [018] (Qiao)
SE   298	Direct Group Study             [019] (Restrepo)
SE   298	Direct Group Study             [020] (Shing)
SE   298	Direct Group Study             [021] (Todd)
SE   298	Direct Group Study             [022] (Uang)
SE   298	Direct Group Study             [023] (Van Den Einde)
SE   298	Direct Group Study             [024] (Zhu)
SE   299	Graduate Research              [001] (Asaro)
SE   299	Graduate Research              [002] (Bazilevs)
SE   299	Graduate Research              [003] (Chen)
SE   299	Graduate Research              [004] (Conte)
SE   299	Graduate Research              [005] (Elgamal)
SE   299	Graduate Research              [006] (Eliasson)
SE   299	Graduate Research              [007] (Hutchinson)
SE   299	Graduate Research              [008] (Kim)
SE   299	Graduate Research              [009] (Kim)
SE   299	Graduate Research              [010] (Kosmatka)
SE   299	Graduate Research              [011] (Krysl)
SE   299	Graduate Research              [012] (Kuester)
SE   299	Graduate Research              [013] (Lanza Di Scalea)
SE   299	Graduate Research              [014] (Loh)
SE   299	Graduate Research              [015] (Luco)
SE   299	Graduate Research              [016] (McCartney)
SE   299	Graduate Research              [017] (Mosqueda)
SE   299	Graduate Research              [018] (Qiao)
SE   299	Graduate Research              [019] (Restrepo)
SE   299	Graduate Research              [020] (Shing)
SE   299	Graduate Research              [021] (Todd)
SE   299	Graduate Research              [022] (Uang)
SE   299	Graduate Research              [023] (Van Den Einde)
SE   299	Graduate Research              [024] (Zhu)
SE   299	Graduate Research              [025] (Tomac)
SE   299	Graduate Research              [026] (Hegemier)
SIO   12	History of Earth & Evolution   [A00] (Staff)
SIO   15	Natural Disasters              [A00] (Laske)
SIO   30	The Oceans                     [A00] (Castillo)
SIO   40	Life and Climate on Earth      [A00] (Barbeau)
SIO   50	Intro/Earth&Environmental Sci  [A00] (Cook)
SIO   60	Exp/Oceanic & Atmospheric Sci  [A00] (Lucas)
SIO   87	Freshman Seminar               [A00] (Norris)
SIO   87	Freshman Seminar               [B00] (Cook)
SIO   87	Freshman Seminar               [C00] (Gerwick)
SIO   90	Undergraduate Seminar          [A00] (Staff)
SIO   99	Independent Study              [001] (Staff)
SIO  100	Introduction to Field Methods  [A00] (Day)
SIO  101	California Coast Oceanography  [A00] (Aluwihare)
SIO  106	Introduction to Hydrogeology   [A00] (Brown)
SIO  108	Intro to Paleoclimatology      [A00] (Teranes)
SIO  117	Physical Basis of Global Warmg [A00] (Keeling)
SIO  123	Microbial Env Systems Biology  [A00] (Allen)
SIO  132	Introduction to Marine Biology [A00] (Burton)
SIO  136	Marine Biology Laboratory      [A00] (Semmens)
SIO  136	Marine Biology Laboratory      [B00] (Semmens)
SIO  164	Maritime Archaeology           [A00] (Rivera
SIO  170	Introduction to Volcanology    [A00] (Cook)
SIO  171	Intro to Physical Oceanography [A00] (Rudnick)
SIO  189	Pollution, Environmnt & Health [A00] (Hamdoun)
SIO  190	Special Topic/Earth/Ocean/Atmo [A00] (Martz)
SIO  194	Research Seminar/Washington DC [A00] (Kernell)
SIO  196	Honors Thesis Research         [A00] (Stegman)
SIO  197BA	Birch Aquarium Internship      [A00] (Staff)
SIO  299	Research                       [001] (Aburto Oropeza)
SIO  299	Research                       [002] (Agnew)
SIO  299	Research                       [003] (Alford)
SIO  299	Research                       [004] (Allen)
SIO  299	Research                       [005] (Allen)
SIO  299	Research                       [006] (Aluwihare)
SIO  299	Research                       [007] (Andersson)
SIO  299	Research                       [008] (Armi)
SIO  299	Research                       [009] (Azam)
SIO  299	Research                       [010] (Ballance)
SIO  299	Research                       [011] (Barbeau)
SIO  299	Research                       [012] (Barlow)
SIO  299	Research                       [013] (Bartlett)
SIO  299	Research                       [014] (Barton)
SIO  299	Research                       [015] (Baumann
SIO  299	Research                       [016] (Benmarhnia)
SIO  299	Research                       [017] (Blackman)
SIO  299	Research                       [018] (Bock)
SIO  299	Research                       [019] (Borsa)
SIO  299	Research                       [020] (Brahamsha)
SIO  299	Research                       [021] (Bromirski)
SIO  299	Research                       [022] (Brown)
SIO  299	Research                       [023] (Buckingham)
SIO  299	Research                       [024] (Burton)
SIO  299	Research                       [025] (Cande)
SIO  299	Research                       [026] (Castillo)
SIO  299	Research                       [027] (Cayan)
SIO  299	Research                       [028] (Cessi)
SIO  299	Research                       [029] (Chadwell)
SIO  299	Research                       [030] (Charles)
SIO  299	Research                       [031] (Chereskin)
SIO  299	Research                       [032] (Constable)
SIO  299	Research                       [033] (Constable)
SIO  299	Research                       [034] (Cornuelle)
SIO  299	Research                       [035] (D'Spain)
SIO  299	Research                       [036] (Day)
SIO  299	Research                       [037] (Dayton)
SIO  299	Research                       [038] (Deane)
SIO  299	Research                       [039] (Deheyn)
SIO  299	Research                       [040] (Dickson)
SIO  299	Research                       [041] (Driscoll)
SIO  299	Research                       [042] (Eisenman)
SIO  299	Research                       [043] (Evan)
SIO  299	Research                       [044] (Ezcurra)
SIO  299	Research                       [045] (Feddersen)
SIO  299	Research                       [046] (Felbeck)
SIO  299	Research                       [047] (Fenical)
SIO  299	Research                       [048] (Fialko)
SIO  299	Research                       [049] (Franks)
SIO  299	Research                       [050] (Fricker)
SIO  299	Research                       [051] (Gaasterland)
SIO  299	Research                       [052] (Gee)
SIO  299	Research                       [053] (Georgakakos)
SIO  299	Research                       [054] (Gershunov)
SIO  299	Research                       [055] (Gerstoft)
SIO  299	Research                       [056] (Gerwick)
SIO  299	Research                       [057] (Gerwick)
SIO  299	Research                       [058] (Giddings)
SIO  299	Research                       [059] (Gille)
SIO  299	Research                       [060] (Guza)
SIO  299	Research                       [061] (Haase)
SIO  299	Research                       [062] (Hamdoun)
SIO  299	Research                       [063] (Harding)
SIO  299	Research                       [064] (Hastings)
SIO  299	Research                       [065] (Hechinger)
SIO  299	Research                       [066] (Hedlin)
SIO  299	Research                       [067] (Hendershott)
SIO  299	Research                       [068] (Hildebrand)
SIO  299	Research                       [069] (Hildebrand)
SIO  299	Research                       [070] (Hilton)
SIO  299	Research                       [071] (Hodgkiss)
SIO  299	Research                       [072] (Holland)
SIO  299	Research                       [073] (Hughes)
SIO  299	Research                       [074] (Jackson)
SIO  299	Research                       [075] (Jaffe)
SIO  299	Research                       [076] (Jensen)
SIO  299	Research                       [077] (Johnston)
SIO  299	Research                       [078] (Kastner)
SIO  299	Research                       [079] (Keeling)
SIO  299	Research                       [080] (Key)
SIO  299	Research                       [081] (Kooyman)
SIO  299	Research                       [082] (Koslow)
SIO  299	Research                       [083] (Kuperman)
SIO  299	Research                       [084] (Landry)
SIO  299	Research                       [085] (Laske)
SIO  299	Research                       [086] (Latz)
SIO  299	Research                       [087] (Leichter)
SIO  299	Research                       [088] (Levin)
SIO  299	Research                       [089] (Llewellyn Smith)
SIO  299	Research                       [090] (Lonsdale)
SIO  299	Research                       [091] (Lubin)
SIO  299	Research                       [092] (Lyons)
SIO  299	Research                       [093] (Mackinnon)
SIO  299	Research                       [094] (Martz)
SIO  299	Research                       [095] (Masters)
SIO  299	Research                       [096] (McClean)
SIO  299	Research                       [097] (Melville)
SIO  299	Research                       [098] (Mesnick)
SIO  299	Research                       [099] (Miller)
SIO  299	Research                       [100] (Minster)
SIOB 242A	Marine Biotechnology I         [A00] (Fenical)
SIOB 262	Marine Chemical Biology Seminr [A00] (Moore)
SIOB 269	IFER Forum                     [A00] (Levin)
SIOB 277	Deep
SIOB 278	Seminar in Ocean Biosciences   [A00] (Palenik)
SIOB 278	Seminar in Ocean Biosciences   [B00] (Franks)
SIOB 279	Ecology Seminar/BO             [A00] (Sugihara)
SIOB 280	Biological Oceanography        [A00] (Franks)
SIOB 289	Pollution, Environmnt & Health [A00] (Hamdoun)
SIOB 296	Special Topics/Ocean Bio       [A00] (Semmens)
SIOB 296	Special Topics/Ocean Bio       [B00] (Murray)
